date,equity,cash,positions,drawdown,returns
2020-04-03,999936.661,951597.661,3,-6.333900000003632e-05,
2020-04-07,1001178.92375,925516.92375,4,0.0,0.0012423414386644183
2020-04-08,1000686.03125,963615.03125,2,-0.0004923121015710036,-0.0004923121015709686
2020-04-09,1001295.91125,983130.91125,1,0.0,0.0006094618900978066
2020-04-10,1001367.65375,924161.65375,3,0.0,7.164964841455124e-05
2020-04-13,1000246.0045000002,923023.0045000002,3,-0.001120117317350386,-0.0011201173173503998
2020-04-14,1001656.7885000001,955740.7885000001,2,0.0,0.0014104370261445176
2020-04-15,1000991.8810000002,874112.8810000002,5,-0.0006638077110181458,-0.0006638077110181495
2020-04-16,1001740.5322500002,878924.5322500002,5,0.0,0.0007479094128637342
2020-04-17,1000902.4952500002,882780.4952500002,5,-0.0008365809039569399,-0.000836580903956885
2020-04-20,1001394.2387500003,881893.2387500003,5,-0.00034569181225212664,0.0004913001039899001
2020-04-21,1002987.3935000001,879276.3935000001,5,0.0,0.0015909366045370188
2020-04-22,1003347.2837500002,848609.2837500002,5,0.0,0.00035881831848771917
2020-04-23,1004650.9002500002,856811.9002500002,5,0.0,0.0012992674830669682
2020-04-24,1002429.9660000001,910167.9660000001,3,-0.0022106527246901243,-0.002210652724690121
2020-04-27,1000622.9400000002,932522.9400000002,3,-0.0040093133336143675,-0.001802645632403177
2020-04-28,1001418.9950000001,930220.9950000001,3,-0.0032169435663630345,0.000795559414218383
2020-04-29,1000365.0390000001,897205.0390000001,5,-0.004266020414587364,-0.001052462560888423
2020-04-30,1001741.449,901845.449,5,-0.0028959823250804457,0.0013759077400143926
2020-05-06,1004394.729,896001.729,5,-0.0002549853386249731,0.0026486674806645016
2020-05-07,1002766.3820000001,895226.3820000001,5,-0.0018757941186646348,-0.001621222167923153
2020-05-08,1000734.3390000002,873314.3390000002,5,-0.003898430040748901,-0.0020264371008799076
2020-05-11,1002123.5600000002,887811.5600000002,5,-0.0025156402580947253,0.0013882015894330912
2020-05-12,1005730.2520000002,873493.2520000002,5,0.0,0.0035990492030744115
2020-05-13,1012994.3797500001,860156.3797500001,5,0.0,0.00722273963177944
