code,buy_date,sell_date,buy_price,sell_price,shares,pnl,pnl_pct,reason
300199.SZ,2020-04-16,2020-04-23,6.685,5.86,4800,-4023.287999999997,-12.341062079281965,硬止损(ATR=0.32)
000893.SZ,2020-04-16,2020-05-06,6.58,6.0,2400,-1425.8000000000004,-8.814589665653497,硬止损(ATR=0.28)
300680.SZ,2020-04-16,2020-05-07,24.92,23.61,500,-683.610000000001,-5.2568218298555465,第12天亏损(-4.8%)
600598.SH,2020-04-16,2020-05-08,15.905,17.6,480,791.7040000000011,10.657026092423779,分批止盈(浮盈11.5%达10%)
002401.SZ,2020-04-23,2020-05-21,13.055,14.39,540,700.3588000000005,10.225967062428195,分批止盈(浮盈10.2%达10%)
600598.SH,2020-04-16,2020-05-22,15.905,15.56,1120,-426.2543999999988,-2.169129204652618,第23天亏损(-0.5%)
600027.SH,2020-04-16,2020-05-25,3.510108108108108,3.59,18500,1328.566249999999,2.276052173645224,第24天微利(1.7%)
002165.SZ,2020-05-07,2020-05-25,4.745121951219512,4.36,4100,-1619.7519999999986,-8.116165510151625,第12天亏损(-7.7%)
002401.SZ,2020-04-23,2020-05-26,13.055,13.07,1260,-19.036399999999283,0.11489850631942221,第20天亏损(-0.4%)
300399.SZ,2020-05-06,2020-05-26,14.17,15.64,150,210.80800000000008,10.374029640084691,分批止盈(浮盈10.7%达10%)
600330.SH,2020-05-25,2020-06-02,8.882903225806452,10.04,930,1052.4255999999993,13.026110324290945,分批止盈(浮盈12.6%达10%)
000099.SZ,2020-05-25,2020-06-03,6.675522388059702,6.97,6700,1867.9272499999972,4.411304386710184,放量阴线
002183.SZ,2020-05-26,2020-06-04,4.48,5.03,870,464.7477999999998,12.27678571428571,分批止盈(浮盈12.3%达10%)
600330.SH,2020-05-25,2020-06-08,8.882903225806452,10.71,651,1170.4955800000007,20.568689399716757,分批止盈(浮盈21.5%达20%)
300399.SZ,2020-05-06,2020-06-10,14.17,16.2,350,694.1599999999999,14.326040931545514,持仓超25天(14.7%)
601615.SH,2020-05-22,2020-06-11,11.885142857142856,11.99,3500,272.57875000000354,0.8822539545170528,第14天微利(1.4%)
600330.SH,2020-05-25,2020-06-12,8.882903225806452,9.86,1063,1012.6915109677414,10.999745796564616,浮盈14.3%后跌破BBI
600330.SH,2020-05-25,2020-06-16,8.882903225806452,10.11,319,379.9936909677417,13.8141409739623,浮盈12.7%后跌破BBI
688266.SH,2020-06-10,2020-06-16,74.188,82.0,150,1142.1999999999998,10.530004852536795,分批止盈(浮盈10.1%达10%)
600330.SH,2020-05-25,2020-06-19,8.882903225806452,10.0,95,99.22419354838709,12.575807095907326,浮盈12.6%后跌破BBI
300276.SZ,2020-06-03,2020-06-19,9.36304347826087,9.13,2300,-583.2477499999998,-2.4889714418388658,第12天亏损(-2.5%)
688266.SH,2020-06-10,2020-06-19,74.188,76.85,350,871.1806249999971,3.588181377042098,放量阴线
600330.SH,2020-05-25,2020-06-22,8.882903225806452,9.84,29,22.1850864516129,10.774594182372807,浮盈11.5%后跌破BBI
002183.SZ,2020-05-26,2020-06-24,4.48,5.7,609,731.0373999999998,27.23214285714285,分批止盈(浮盈25.4%达20%)
600330.SH,2020-05-25,2020-06-29,8.882903225806452,9.88,9,3.7960309677419435,11.224897410756448,浮盈11.9%后跌破BBI
002183.SZ,2020-05-26,2020-06-29,4.48,5.47,1421,1386.244259999999,22.098214285714267,放量阴线
600330.SH,2020-05-25,2020-06-30,8.882903225806452,9.92,4,-0.9309729032258065,11.675200639140067,移动止盈(锁定10.9%)
002437.SZ,2020-06-11,2020-07-07,3.04,3.51,3120,1439.4975999999992,15.460526315789465,分批止盈(浮盈16.1%达10%)
002055.SZ,2020-06-19,2020-07-08,14.24,15.55,660,839.0740000000003,9.199438202247194,分批止盈(浮盈10.6%达10%)
002437.SZ,2020-06-11,2020-07-09,3.04,3.67,2184,1354.8894399999997,20.72368421052631,分批止盈(浮盈22.0%达20%)
300053.SZ,2020-06-29,2020-07-09,10.995945945945946,12.39,1110,1514.8942000000004,12.677891114661424,分批止盈(浮盈13.4%达10%)
600375.SH,2020-06-19,2020-07-10,8.0,9.28,840,1054.6095999999993,15.999999999999993,分批止盈(浮盈16.9%达10%)
002654.SZ,2020-06-30,2020-07-10,4.32,4.77,2010,880.3245999999984,10.416666666666648,分批止盈(浮盈11.6%达10%)
002437.SZ,2020-06-11,2020-07-13,3.04,3.82,5096,3930.9465599999994,25.657894736842096,放量阴线
600375.SH,2020-06-19,2020-07-14,8.0,9.58,588,912.77392,19.75,分批止盈(浮盈22.1%达20%)
002055.SZ,2020-06-19,2020-07-14,14.24,19.79,462,2540.8140399999993,38.97471910112359,分批止盈(浮盈31.2%达20%)
300016.SZ,2020-07-06,2020-07-14,11.580434782608696,12.76,690,791.2911999999993,10.185845691758955,分批止盈(浮盈10.2%达10%)
300053.SZ,2020-06-29,2020-07-15,10.995945945945946,13.3,2590,5889.994250000001,20.95366842816763,放量阴线
002055.SZ,2020-06-19,2020-07-16,14.24,18.35,1078,4386.017400000002,28.862359550561806,放量阴线
002654.SZ,2020-06-30,2020-07-16,4.32,4.49,4690,749.9192749999996,3.9351851851851833,移动止盈(锁定4.9%)
600375.SH,2020-06-19,2020-07-17,8.0,8.65,1372,863.0644000000005,8.125000000000004,移动止盈(锁定6.9%)
300016.SZ,2020-07-06,2020-07-22,11.580434782608696,11.15,1610,-733.9030000000007,-3.7169138351792785,第12天亏损(-3.1%)
002624.SZ,2020-07-13,2020-07-22,60.352,42.1,500,-9173.362499999997,-30.242576882290557,硬止损(ATR=4.50)
603456.SH,2020-07-15,2020-07-23,32.21666666666667,36.2,270,1050.9520000000002,12.364200724262805,分批止盈(浮盈11.3%达10%)
000426.SZ,2020-07-16,2020-07-23,9.105,10.4,780,988.876,14.222954420647993,分批止盈(浮盈13.6%达10%)
002829.SZ,2020-07-22,2020-07-27,36.305,41.0,240,1102.1200000000003,12.932103016113484,分批止盈(浮盈14.0%达10%)
002829.SZ,2020-07-22,2020-07-28,36.305,38.74,560,1314.787600000001,6.707065142542355,放量阴线
000426.SZ,2020-07-16,2020-07-29,9.105,9.56,1820,788.3016000000002,4.99725425590335,放量阴线
300049.SZ,2020-07-16,2020-07-29,10.392727272727273,11.42,990,989.3884000000002,9.884534639608118,分批止盈(浮盈11.3%达10%)
603456.SH,2020-07-15,2020-08-04,32.21666666666667,33.0,630,446.7224999999988,2.4314536989135997,第14天微利(1.6%)
688116.SH,2020-07-21,2020-08-06,53.906666666666666,49.6,300,-1326.7599999999998,-7.9891169923324235,第12天亏损(-7.5%)
300049.SZ,2020-07-16,2020-08-07,10.392727272727273,11.42,1617,1619.1677200000001,9.884534639608118,浮盈11.3%后跌破BBI
688099.SH,2020-07-22,2020-08-07,57.185,55.0,400,-923.5000000000009,-3.8209320626038337,第12天亏损(-2.5%)
300531.SZ,2020-07-30,2020-08-07,20.35,23.5,330,1018.9899999999994,15.479115479115471,分批止盈(浮盈15.0%达10%)
300049.SZ,2020-07-16,2020-08-10,10.392727272727273,11.49,485,516.031972727273,10.558082575227436,浮盈10.9%后跌破BBI
300531.SZ,2020-07-30,2020-08-10,20.35,20.4,770,2.0839999999978147,0.24570024570023172,放量阴线
601633.SH,2020-08-07,2020-08-11,13.98,15.34,270,353.91639999999984,9.728183118741054,分批止盈(浮盈10.0%达10%)
300049.SZ,2020-07-16,2020-08-12,10.392727272727273,11.12,145,97.22974545454537,6.997900629811051,浮盈8.7%后跌破BBI
300049.SZ,2020-07-16,2020-08-14,10.392727272727273,10.8,63,19.297381818181876,3.9188243526942,移动止盈(锁定4.0%)
600105.SH,2020-08-10,2020-08-19,5.654057971014493,6.41,2070,1533.2626000000002,13.369902340245563,分批止盈(浮盈13.7%达10%)
300674.SZ,2020-08-04,2020-08-20,52.205,48.88,400,-1374.103999999998,-6.369121731634893,第12天亏损(-6.0%)
300415.SZ,2020-08-06,2020-08-25,10.748148148148148,12.4,810,1312.9119999999998,15.368711233631979,分批止盈(浮盈13.2%达10%)
601633.SH,2020-08-07,2020-08-25,13.98,13.98,630,-22.6148,0.0,第12天亏损(-0.9%)
300415.SZ,2020-08-06,2020-09-02,10.748148148148148,13.38,567,1472.0870800000002,24.486560992419026,分批止盈(浮盈26.6%达20%)
600531.SH,2020-08-17,2020-09-03,5.55,5.4,1700,-278.3599999999991,-2.7027027027026933,第13天亏损(-0.5%)
600989.SH,2020-08-20,2020-09-07,13.15,12.2,2600,-2541.370000000002,-7.224334600760464,第12天亏损(-7.5%)
300415.SZ,2020-08-06,2020-09-10,10.748148148148148,12.7,926,1778.894414814814,18.159889731219838,浮盈17.0%后跌破BBI
300726.SZ,2020-08-25,2020-09-10,41.326,40.8,500,-308.9000000000017,-1.272806465663271,第12天亏损(-3.2%)
300415.SZ,2020-08-06,2020-09-11,10.748148148148148,13.16,397,942.0561451851852,22.43969676085458,持仓超25天(21.2%)
600105.SH,2020-08-10,2020-09-14,5.654057971014493,6.19,4830,2521.3301750000023,9.47889165150079,持仓超25天(9.5%)
002009.SZ,2020-09-03,2020-09-21,9.525,9.1,2000,-891.4000000000015,-4.4619422572178555,第12天亏损(-4.8%)
300579.SZ,2020-09-14,2020-09-30,52.0,50.21,100,-194.0419999999999,-3.4423076923076903,第12天亏损(-4.0%)
300131.SZ,2020-09-21,2020-10-13,6.9151851851851855,7.79,810,690.9801999999997,12.650634674093508,分批止盈(浮盈14.0%达10%)
300071.SZ,2020-09-21,2020-10-14,3.495,3.78,1140,311.2815999999997,8.154506437768232,分批止盈(浮盈10.2%达10%)
002031.SZ,2020-09-21,2020-10-15,2.0999386503067483,2.06,16300,-726.5504999999965,-1.9018960530544176,第12天亏损(-2.4%)
688208.SH,2020-09-21,2020-10-15,74.18666666666667,74.55,300,58.67874999999891,0.4897555715312676,第12天亏损(-0.4%)
601717.SH,2020-10-13,2020-10-15,9.37,10.94,510,784.5412000000002,16.75560298826041,分批止盈(浮盈15.3%达10%)
300131.SZ,2020-09-21,2020-10-21,6.9151851851851855,8.4,567,827.3644,21.471801189009692,分批止盈(浮盈20.9%达20%)
300131.SZ,2020-09-21,2020-10-22,6.9151851851851855,8.67,1323,2293.6791799999996,25.376251941513573,放量阴线
300071.SZ,2020-09-21,2020-10-28,3.495,3.39,2660,-302.3348,-3.0042918454935617,第21天亏损(-1.6%)
600764.SH,2020-10-12,2020-10-28,39.00714285714286,36.32,700,-1938.2040000000015,-6.8888481963010495,第12天亏损(-7.2%)
601717.SH,2020-10-13,2020-10-28,9.37,10.65,833,1043.4971000000007,13.660618996798304,浮盈12.2%后跌破BBI
601717.SH,2020-10-13,2020-11-02,9.37,10.53,249,278.5960600000001,12.379935965848455,浮盈10.0%后跌破BBI
300821.SZ,2020-10-15,2020-11-02,12.190869565217392,11.57,2300,-1487.8747500000015,-5.092906309069515,第12天亏损(-5.0%)
002153.SZ,2020-10-22,2020-11-02,39.605,36.45,1000,-3237.012499999994,-7.966165888145421,放量阴线
601717.SH,2020-10-13,2020-11-03,9.37,10.4,75,70.69000000000008,10.992529348986139,浮盈10.7%后跌破BBI
601717.SH,2020-10-13,2020-11-04,9.37,10.28,23,15.457120000000003,9.711846318036288,浮盈9.2%后跌破BBI
002291.SZ,2020-11-02,2020-11-04,19.63,22.6,120,345.97600000000034,15.129903209373422,分批止盈(浮盈14.7%达10%)
600686.SH,2020-10-15,2020-11-05,6.47,8.06,2100,3300.1480000000015,24.57496136012366,分批止盈(浮盈13.3%达10%)
601717.SH,2020-10-13,2020-11-06,9.37,12.0,3,2.8180000000000023,28.068303094984003,分批止盈(浮盈26.3%达20%)
600686.SH,2020-10-15,2020-11-06,6.47,8.87,1470,3496.922199999999,37.09428129829983,分批止盈(浮盈24.6%达20%)
688099.SH,2020-11-04,2020-11-06,76.265,69.62,400,-2720.657999999998,-8.713040057693563,硬止损(ATR=3.73)
002291.SZ,2020-11-02,2020-11-10,19.63,23.75,84,337.0900000000001,20.988283239938877,分批止盈(浮盈21.0%达20%)
600686.SH,2020-10-15,2020-11-11,6.47,8.75,3430,7752.871875000001,35.23956723338486,放量阴线
002291.SZ,2020-11-02,2020-11-11,19.63,21.89,137,298.6221400000003,11.51299032093735,浮盈12.0%后跌破BBI
002291.SZ,2020-11-02,2020-11-12,19.63,21.32,59,92.19424000000008,8.609271523178814,移动止盈(锁定7.0%)
600203.SH,2020-11-06,2020-11-12,9.27,10.58,540,690.9736000000003,14.131607335490838,分批止盈(浮盈15.4%达10%)
601717.SH,2020-10-13,2020-11-17,9.37,12.2,7,14.639200000000002,30.20277481323373,持仓超25天(31.8%)
600203.SH,2020-11-06,2020-11-18,9.27,9.26,1260,-40.93519999999973,-0.10787486515641627,移动止盈(锁定2.5%)
300100.SZ,2020-11-12,2020-11-18,14.2,16.0,150,260.20000000000016,12.676056338028175,分批止盈(浮盈12.7%达10%)
300843.SZ,2020-11-18,2020-11-19,36.46,39.71,60,185.2348,8.913878222709819,分批止盈(浮盈11.6%达10%)
300541.SZ,2020-11-06,2020-11-24,22.893636363636364,21.73,1100,-1333.7817500000006,-5.082793948298457,第12天亏损(-5.3%)
300100.SZ,2020-11-12,2020-11-24,14.2,15.86,244,392.30032,11.690140845070424,浮盈8.9%后跌破BBI
300001.SZ,2020-11-17,2020-11-25,21.394666666666666,25.8,450,1954.180000000001,20.59080144584321,分批止盈(浮盈20.5%达10%)
300443.SZ,2020-11-04,2020-11-26,30.34285714285714,30.8,700,271.4900000000014,1.506591337099818,第16天微利(1.3%)
300001.SZ,2020-11-17,2020-11-26,21.394666666666666,25.31,1050,4051.305125,18.300511030786488,放量阴线
300843.SZ,2020-11-18,2020-12-02,36.46,36.92,140,49.062400000000125,1.2616566099835458,移动止盈(锁定2.1%)
300593.SZ,2020-11-11,2020-12-04,21.966666666666665,21.6,900,-373.8799999999972,-1.669195751138074,第17天亏损(-1.7%)
300100.SZ,2020-11-12,2020-12-04,14.2,14.39,106,12.089320000000136,1.3380281690140936,第16天微利(0.8%)
300850.SZ,2020-11-26,2020-12-07,119.5,133.0,30,392.02,11.297071129707113,分批止盈(浮盈11.2%达10%)
002164.SZ,2020-11-24,2020-12-10,5.78,5.6,7900,-1521.5400000000047,-3.114186851211083,第12天亏损(-2.6%)
603767.SH,2020-11-26,2020-12-14,8.49,7.66,3200,-2711.1520000000005,-9.77620730270907,硬止损(ATR=0.36)
300850.SZ,2020-11-26,2020-12-14,119.5,109.0,70,-755.26,-8.786610878661087,第12天亏损(-12.0%)
603002.SH,2020-12-02,2020-12-18,5.82,5.51,2900,-935.9580000000016,-5.326460481099664,第12天亏损(-5.2%)
300153.SZ,2020-12-04,2020-12-22,7.8832,7.63,2500,-676.1500000000015,-3.211893647249854,第12天亏损(-3.3%)
300866.SZ,2020-12-04,2020-12-23,182.0,181.07,100,-134.21400000000068,-0.5109890109890147,第13天微利(0.3%)
600733.SH,2020-12-18,2020-12-28,8.022592592592593,8.9,810,691.2819999999999,10.936706523244537,分批止盈(浮盈11.4%达10%)
000629.SZ,2020-12-14,2020-12-30,2.2248344370860926,2.18,15100,-751.0654999999964,-2.0151808304807157,第12天亏损(-1.6%)
300581.SZ,2020-12-14,2020-12-30,44.446666666666665,41.6,300,-883.9599999999992,-6.404679766011694,第12天亏损(-5.3%)
002670.SZ,2020-12-28,2020-12-31,11.31578947368421,12.87,570,866.2281999999994,13.734883720930224,分批止盈(浮盈10.5%达10%)
002670.SZ,2020-12-28,2021-01-04,11.31578947368421,14.29,399,1170.3065799999995,26.28372093023255,分批止盈(浮盈21.5%达20%)
002670.SZ,2020-12-28,2021-01-06,11.31578947368421,12.61,651,821.1128326315785,11.437209302325575,浮盈11.3%后跌破BBI
600733.SH,2020-12-18,2021-01-07,8.022592592592593,7.95,1890,-172.25100000000074,-0.9048520382253868,第13天亏损(-0.9%)
300037.SZ,2020-12-18,2021-01-07,102.25,97.08,200,-1077.8320000000003,-5.056234718826408,第13天亏损(-3.2%)
002670.SZ,2020-12-28,2021-01-07,11.31578947368421,12.29,280,260.89654736842084,8.609302325581387,移动止盈(锁定8.3%)
300600.SZ,2020-12-30,2021-01-08,21.095,21.64,1200,595.5720000000022,2.583550604408636,放量阴线
600255.SH,2020-12-31,2021-01-08,1.8450279329608938,1.69,17900,-2843.0647500000014,-8.402470780597108,硬止损(ATR=0.09)
000425.SZ,2020-12-22,2021-01-12,5.499036144578313,5.54,8300,236.5405000000013,0.7449279172691847,第14天微利(1.7%)
000566.SZ,2021-01-07,2021-01-12,9.085,8.46,4600,-2962.561,-6.879471656576774,硬止损(ATR=0.36)
000572.SZ,2021-01-08,2021-01-14,2.995,2.75,10400,-2612.350000000001,-8.180300500834727,硬止损(ATR=0.14)
600509.SH,2021-01-12,2021-01-15,5.095714285714286,4.3,3500,-2820.100000000002,-15.615363050182236,硬止损(ATR=0.42)
600864.SH,2021-01-12,2021-01-21,7.408518518518519,6.69,2700,-1981.1259999999997,-9.698545218217266,硬止损(ATR=0.46)
000536.SZ,2021-01-08,2021-01-25,3.1646236559139784,2.9,9300,-2521.6824999999994,-8.361931296931807,硬止损(ATR=0.15)
600160.SH,2021-01-07,2021-01-26,7.950188679245283,8.84,1590,1381.6888000000001,11.192329599392444,分批止盈(浮盈12.3%达10%)
600744.SH,2021-01-14,2021-01-26,2.80955223880597,3.09,2010,546.2781999999996,9.981937951551206,分批止盈(浮盈12.1%达10%)
300772.SZ,2021-01-07,2021-01-27,16.68,18.39,240,396.57280000000026,10.251798561151086,分批止盈(浮盈10.7%达10%)
600160.SH,2021-01-07,2021-01-27,7.950188679245283,8.9,3710,3449.507250000002,11.947028669071583,放量阴线
300772.SZ,2021-01-07,2021-02-01,16.68,16.5,560,-124.27999999999983,-1.0791366906474804,第17天亏损(-0.1%)
600744.SH,2021-01-14,2021-02-01,2.80955223880597,2.72,4690,-450.51359999999914,-3.187420314492131,第12天亏损(-3.2%)
002182.SZ,2021-01-15,2021-02-02,11.995,10.95,2200,-2353.2025000000003,-8.711963318049188,第12天亏损(-9.4%)
300346.SZ,2021-01-21,2021-02-03,36.84285714285714,33.03,700,-2721.022249999998,-10.348972469949587,硬止损(ATR=1.78)
688567.SH,2021-01-25,2021-02-04,39.87,33.8,500,-3073.8,-15.22447955856534,硬止损(ATR=3.04)
