date,equity,cash,positions,drawdown,returns
2020-04-03,999144.595,954524.595,5,-0.0008554050000000279,
2020-04-07,1000625.7259999999,908020.1619999999,5,0.0,0.0014823990515606678
2020-04-08,1000141.6659999999,908149.6659999999,5,-0.0004837573004794561,-0.0004837573004794482
2020-04-09,1001338.6659999999,908149.6659999999,5,0.0,0.0011968304498175542
2020-04-10,996648.6659999999,908149.6659999999,5,-0.004683730049829116,-0.004683730049829138
2020-04-13,993350.6659999999,908149.6659999999,5,-0.007977321031563962,-0.0033090898653749257
2020-04-14,996198.6659999999,908149.6659999999,5,-0.0051331284554630395,0.0028670640665779956
2020-04-15,993747.1594999998,872363.9309999999,5,-0.0075813575943546145,-0.0024608610547969256
2020-04-16,996365.2624999998,896391.0224999998,5,-0.0049667546743870725,0.0026345765871846893
2020-04-17,994986.6264999999,891181.7504999998,5,-0.00634354760849708,-0.0013836652600079935
2020-04-20,995155.1865,893757.1865,5,-0.006175212952377792,0.00016940931215625454
2020-04-21,995799.1865,893757.1865,5,-0.005532073900759466,0.0006471352495935889
2020-04-22,997599.1865,893757.1865,5,-0.0037344802782237714,0.0018075933626000573
2020-04-23,998437.1865,893757.1865,5,-0.0028976005806210423,0.0008400167234898781
2020-04-24,993990.2355,857540.0155,5,-0.007338606556914783,-0.004453911633228169
2020-04-27,990956.44525,832488.7595,5,-0.01036834100442084,-0.003052132849649114
2020-04-28,988007.7772499999,843302.05725,5,-0.013313066999851504,-0.002975577800754081
2020-04-29,987721.8772499999,853989.8772499999,5,-0.013598584786897613,-0.00028937019179731127
2020-04-30,990637.8772499999,853989.8772499999,5,-0.010686483118389788,0.0029522480641197557
2020-05-06,992488.8772499999,853989.8772499999,5,-0.008837957676548915,0.0018684930613983575
2020-05-07,991978.8772499999,853989.8772499999,5,-0.009347275869600696,-0.0005138596630051007
2020-05-08,992260.0072499999,842024.9292499999,5,-0.009066521705654324,0.00028340321195075013
2020-05-11,991689.9294499998,853703.1642499999,5,-0.009635837382115065,-0.0005745246163654238
2020-05-12,990484.67745,872915.3774499999,5,-0.010839478109197368,-0.0012153516580211132
2020-05-13,994246.74319,872915.3774499999,5,-0.007082441785984027,0.0037982069038013933
2020-05-14,991907.5614399998,866446.8891899999,5,-0.009418496339179624,-0.0023527175381987675
2020-05-15,992821.6529399998,850481.4989399998,5,-0.008505626866505151,0.0009215490793041958
2020-05-18,991424.4216899999,864347.6616899999,5,-0.009900990191064869,-0.0014073335788581387
2020-05-19,992812.5216899998,864347.6616899999,5,-0.008514745909152783,0.0014001067248614607
2020-05-20,991306.1254399999,843126.1679399998,5,-0.01001912829360371,-0.0015173018239493796
2020-05-21,991228.4954399997,842706.4254399998,5,-0.0100966545118913,-7.831082448483961e-05
2020-05-22,989247.5054399997,842706.4254399998,5,-0.012074996173172951,-0.001998520027534756
2020-05-25,987608.9909599999,842706.4254399998,5,-0.013711320161884175,-0.0016563240958299419
2020-05-26,980946.7177099999,816182.8572099998,5,-0.02036468677621201,-0.0067458612780791904
2020-05-27,979649.3527099998,838012.4027099998,5,-0.021660317359601573,-0.0013225641888366946
2020-05-28,979999.1427099998,838012.4027099998,5,-0.021310994985586668,0.00035705632738114446
2020-05-29,980393.0192099998,825193.6017099998,5,-0.020917645049771835,0.00040191514750809176
2020-06-01,982678.0992099999,866949.4392099999,5,-0.018635619919225167,0.0023307795498599404
2020-06-02,982748.9092099998,866949.4392099999,5,-0.01856490458344092,7.205818472688641e-05
2020-06-03,982338.5292099998,866949.4392099999,5,-0.01897473595611659,-0.00041758377562572946
2020-06-04,983331.8992099998,866949.4392099999,5,-0.017982693968995326,0.001011229805674807
2020-06-05,982318.1233099999,834263.66771,5,-0.01899511457595099,-0.001030960045956375
2020-06-08,984062.2410099999,848152.8558099999,5,-0.01725332854568903,0.0017755120857620987
2020-06-09,984021.5380099998,844993.6680099998,5,-0.017293977130810274,-4.1362221111507225e-05
2020-06-10,986414.5950099998,844467.1950099998,5,-0.014904119352163356,0.0024319152656349097
2020-06-11,983644.6950099998,844467.1950099998,5,-0.017670316338308723,-0.0028080484757749824
2020-06-12,984140.1950099998,844467.1950099998,5,-0.017175478760549593,0.0005037388017377076
2020-06-15,982284.9469099998,844467.1950099998,5,-0.01902824662320593,-0.0018851461503217593
2020-06-16,983133.7119099998,848070.8869099998,5,-0.0181806163170773,0.0008640720828207993
2020-06-17,982114.8759099998,859164.0259099999,5,-0.019198090259304964,-0.0010363147836937037
2020-06-18,981915.4204099999,844426.3079099999,5,-0.01939727911196026,-0.00020308774960275944
2020-06-19,982604.8342499998,869719.2704099999,5,-0.01870878693303152,0.0007021112263538853
2020-06-22,981428.3489299999,865000.5822499999,5,-0.01988369943760865,-0.00119731277416113
2020-06-23,981449.5249299998,858602.5249299998,5,-0.01986255174730266,2.1576715226290233e-05
2020-06-24,979813.5249299998,858602.5249299998,5,-0.02149636461756288,-0.001666922198690468
2020-06-29,979974.8879299999,841383.3279299998,5,-0.02133521733994441,0.0001646874592913239
2020-06-30,983261.33353,848065.0079299998,5,-0.01805316531140515,0.003353601852943422
2020-07-01,984344.8895299999,846889.5735299999,5,-0.016971057891816122,0.0011020020446750323
2020-07-02,985066.9390299999,850951.0585299999,5,-0.016249973682729995,0.0007335330407869378
2020-07-03,986210.1248299999,836050.2330299999,6,-0.015108316180811482,0.0011605158540044513
2020-07-06,986951.1248299999,840437.2248299998,6,-0.014368306806200954,0.0007513611768361628
2020-07-07,991364.5750299998,840437.2248299998,6,-0.009960756843479388,0.004471802188543261
2020-07-08,992726.1337799999,845153.0350299999,6,-0.008601018329197263,0.0013734188050433804
2020-07-09,993970.3817799999,861620.3317799999,6,-0.00735843373494569,0.0012533648079378068
2020-07-10,994929.4917799999,861620.3317799999,6,-0.0064006059464400316,0.0009649281483441463
2020-07-13,996393.2177799998,861620.3317799999,6,-0.0049388367671403,0.001471185658976859
2020-07-14,994907.0827799998,849797.0177799999,6,-0.006422984988377579,-0.0014915145682256048
2020-07-15,996787.7827799998,837669.2827799998,6,-0.004544799251764914,0.001890327280357429
