code,buy_date,sell_date,buy_price,sell_price,shares,pnl,pnl_pct,reason
002953.SZ,2020-04-07,2020-04-08,31.31,31.09,200,-61.43599999999978,-0.702650910252312,放量阴线
600560.SH,2020-04-07,2020-04-16,9.405,8.79,2000,-1270.1600000000003,-6.539074960127595,第7天亏损(-6.4%)
603278.SH,2020-04-07,2020-04-16,9.442608695652174,8.44,2300,-2349.824000000001,-10.61792061884152,第7天亏损(-9.2%)
002335.SZ,2020-04-07,2020-04-16,21.87,20.35,1000,-1565.7874999999995,-6.9501600365797875,第7天亏损(-6.7%)
300141.SZ,2020-04-07,2020-04-17,8.48,9.8,600,775.2400000000002,15.566037735849058,分批止盈(浮盈12.6%达10%)
002953.SZ,2020-04-08,2020-04-17,30.695,28.75,400,-806.0000000000001,-6.336536895259816,第7天亏损(-5.8%)
300141.SZ,2020-04-07,2020-04-20,8.48,9.33,1400,1158.8759999999997,10.023584905660373,放量阴线
600361.SH,2020-04-16,2020-04-27,4.055,4.0,5600,-358.3999999999984,-1.3563501849568365,第7天亏损(-1.4%)
000893.SZ,2020-04-16,2020-04-27,6.58,6.45,2200,-319.37999999999977,-1.9756838905775058,第7天亏损(-1.5%)
300106.SZ,2020-04-16,2020-04-28,6.645,6.61,3000,-149.65999999999778,-0.5267118133935178,第8天亏损(-1.7%)
000833.SZ,2020-04-17,2020-04-28,5.048723404255319,4.79,4700,-1266.6542499999982,-5.124531164397988,第7天亏损(-5.7%)
603997.SH,2020-04-20,2020-04-29,8.74,7.35,2400,-3376.280000000001,-15.903890160183073,硬止损(ATR=0.63)
600452.SH,2020-04-27,2020-05-11,19.27,19.24,1800,-131.92200000000204,-0.15568240788791457,第7天亏损(-0.6%)
603669.SH,2020-04-28,2020-05-12,10.935,10.88,2400,-190.7519999999993,-0.5029721079103768,第7天亏损(-0.5%)
000903.SZ,2020-04-29,2020-05-12,4.6772413793103444,5.22,870,458.1172000000001,11.604246534945448,分批止盈(浮盈12.0%达10%)
000903.SZ,2020-04-29,2020-05-14,4.6772413793103444,5.57,609,531.9057400000005,19.087289884989694,分批止盈(浮盈20.2%达20%)
300158.SZ,2020-04-28,2020-05-15,5.372325581395349,5.33,4300,-233.56774999999942,-0.7878446820483936,第10天亏损(-1.2%)
600825.SH,2020-04-27,2020-05-18,5.325,5.33,7200,-50.346000000000764,0.09389671361502147,第12天亏损(-0.1%)
002165.SZ,2020-05-12,2020-05-21,4.764255319148936,4.7,4700,-351.7024999999986,-1.348695962843867,第7天亏损(-1.3%)
000903.SZ,2020-04-29,2020-05-26,4.6772413793103444,5.21,994,514.2045889655177,11.39044529637276,浮盈9.7%后跌破BBI
300530.SZ,2020-05-15,2020-05-26,48.918,36.09,150,-1940.0269999999996,-26.22347602109652,分批止盈(浮盈15.3%达10%)
300530.SZ,2020-05-15,2020-05-27,48.918,35.05,350,-4883.335000000001,-28.349482807964353,硬止损(ATR=3.79)
002004.SZ,2020-05-18,2020-05-27,5.165,5.03,9400,-1375.3844999999978,-2.6137463697967043,第7天亏损(-2.6%)
000789.SZ,2020-05-21,2020-06-01,14.073225806451612,13.5,3100,-1871.1624999999972,-4.073165700139816,硬止损(ATR=0.45)
000903.SZ,2020-04-29,2020-06-08,4.6772413793103444,6.1,427,597.3085310344828,30.418755529342377,持仓超25天(30.0%)
300185.SZ,2020-05-27,2020-06-08,1.895,1.9,23400,16.964999999997502,0.26385224274405766,第8天亏损(-0.3%)
603088.SH,2020-05-27,2020-06-09,11.196296296296296,12.54,810,1063.0851999999993,12.001323188885207,分批止盈(浮盈13.2%达10%)
300077.SZ,2020-06-01,2020-06-10,7.53,7.45,1700,-166.3300000000001,-1.0624169986719798,第7天亏损(-1.2%)
603088.SH,2020-05-27,2020-06-16,11.196296296296296,12.35,1323,1488.6718999999996,10.304333443599072,浮盈8.4%后跌破BBI
000620.SZ,2020-06-08,2020-06-17,3.059367088607595,3.0,7900,-522.3250000000004,-1.9405022963300111,第7天亏损(-1.6%)
600768.SH,2020-06-10,2020-06-19,10.16,9.75,2600,-1123.0375000000004,-4.035433070866143,第7天亏损(-4.1%)
603088.SH,2020-05-27,2020-06-22,11.196296296296296,8.48,396,-1087.3694933333331,-24.260668210387028,浮盈9.0%后跌破BBI
603088.SH,2020-05-27,2020-06-23,11.196296296296296,8.46,171,-475.79998666666654,-24.439298709890828,硬止损(ATR=0.73)
000910.SZ,2020-06-17,2020-06-30,15.76,15.4,1600,-631.439999999999,-2.2842639593908594,第7天亏损(-1.1%)
603818.SH,2020-06-08,2020-07-01,7.98,8.87,1560,1355.7255999999982,11.152882205513768,分批止盈(浮盈11.2%达10%)
600865.SH,2020-06-19,2020-07-02,6.69,6.61,2200,-210.08400000000017,-1.1958146487294479,第7天亏损(-1.2%)
603818.SH,2020-06-08,2020-07-03,7.98,9.05,3640,3820.6805000000013,13.408521303258148,放量阴线
300242.SZ,2020-06-23,2020-07-06,6.615,6.39,2400,-575.6720000000013,-3.401360544217695,第7天亏损(-2.8%)
002187.SZ,2020-07-03,2020-07-06,11.59,13.03,270,376.76379999999983,12.42450388265746,分批止盈(浮盈10.0%达10%)
002685.SZ,2020-06-30,2020-07-08,5.945254237288135,6.53,1770,1006.8838000000012,9.835504746700128,分批止盈(浮盈10.5%达10%)
